City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,stanley,54.868,-1.6985,286.22,84,20,4.63,GB,1715239871
279,varena,54.2167,24.5667,283.64,43,99,1.41,LT,1715239871
280,rongelap,11.1635,166.8941,300.32,77,27,8.25,MH,1715239871
281,farasan,16.7022,42.1183,303.07,70,9,2.8,SA,1715239872
282,bakanas,44.8081,76.2772,305.99,18,51,3.72,KZ,1715239872
283,sai buri,6.7013,101.6168,305.99,61,88,5.17,TH,1715239872
284,yerba buena,-26.8167,-65.3167,285.13,73,100,0.8,AR,1715239872
285,las choapas,17.9333,-94.0833,299.25,51,98,1.94,MX,1715239872
286,nabire,-3.3667,135.4833,300.86,84,100,1.27,ID,1715239873
287,yermakovskoye,53.2831,92.4003,290.16,31,96,3.85,RU,1715239873
288,faya-largeau,17.9257,19.1043,310.09,9,0,7.2,TD,1715239873
289,noumea,-22.2763,166.4572,297.59,99,100,6.66,NC,1715239809
290,ross on wye,51.9167,-2.5667,288.96,82,87,0.89,GB,1715239873
291,ulladulla,-35.35,150.4667,289.34,76,82,1.21,AU,1715239874
292,yorkville,41.6411,-88.4473,292.3,54,100,7.72,US,1715239855
293,antsiranana,-12.2787,49.2917,302.57,58,20,9.26,MG,1715239874
294,kuzovatovo,53.5468,47.6866,276.94,59,100,5.86,RU,1715239874
295,dompu,-8.5356,118.4622,302.17,72,85,0.29,ID,1715239874
296,vila franca do campo,37.7167,-25.4333,291.42,99,78,2.17,PT,1715239874
297,kavaratti,10.5669,72.642,303.19,68,100,3.89,IN,1715239875
298,santa cruz,-17.8,-63.1667,292.85,94,100,7.72,BO,1715239875
299,hadibu,12.65,54.0333,304.26,62,100,1.34,YE,1715239875
300,ceeldheer,3.8488,47.1806,306.29,54,49,3.97,SO,1715239875
301,udachny,66.4167,112.4,268.95,68,100,6.1,RU,1715239875
302,boyolangu,-8.1181,111.8935,300.61,80,66,3.7,ID,1715239876
303,karor,31.2274,70.9492,316.11,7,100,1.11,PK,1715239876
304,otaci,48.43,27.7939,288.37,48,98,3.28,MD,1715239876
305,jinka,5.65,36.65,294.06,85,91,0.96,ET,1715239876
306,claveria,18.6074,121.0832,299.64,85,80,7.7,PH,1715239876
307,haraiya,26.8,82.4667,300.41,57,100,7.02,IN,1715239877
308,guanica,17.9716,-66.908,299.8,68,22,2.18,PR,1715239877
309,sault ste. marie,46.5168,-84.3333,283.31,61,40,6.69,CA,1715239744
310,sechura,-5.5569,-80.8222,294.11,78,100,4.78,PE,1715239877
311,bela,25.9333,81.9833,306.51,39,93,7.92,IN,1715239877
312,khandyga,62.6667,135.6,276.78,88,100,3.08,RU,1715239878
313,edmundston,47.3737,-68.3251,280.28,68,100,4.63,CA,1715239878
314,ta`u,-14.2336,-169.5144,301.88,80,100,6.55,AS,1715239878
315,irymple,-34.25,142.1667,292.64,58,100,3.06,AU,1715239878
316,holualoa,19.6228,-155.9522,297.06,94,40,4.63,US,1715239878
317,centerville,39.6284,-84.1594,292.53,83,75,1.79,US,1715239879
318,susanville,40.4163,-120.653,281.38,54,0,2.68,US,1715239879
319,kaedi,16.1465,-13.5047,306.94,9,16,0.13,MR,1715239879
320,silver city,32.7701,-108.2803,283.88,37,0,4.12,US,1715239879
321,limon,10.0,-83.0333,298.74,83,94,1.41,CR,1715239880
322,dunedin,-45.8742,170.5036,277.48,81,13,0.45,NZ,1715239803
323,tromso,69.6496,18.957,279.16,52,0,3.6,NO,1715239880
324,gaspe,48.8334,-64.4819,278.1,87,100,0.0,CA,1715239881
325,shingu,33.7333,135.9833,290.65,41,0,1.46,JP,1715239881
326,lucas,41.6501,-83.6666,286.23,80,75,5.14,US,1715239881
327,ponta delgada,37.7333,-25.6667,291.59,88,20,3.09,PT,1715239881
328,port augusta,-32.5,137.7667,293.35,44,68,5.96,AU,1715239881
329,hacibektas,38.9408,34.5577,285.92,55,0,4.63,TR,1715239882
330,nishinoomote,30.7333,131.0,293.46,59,40,1.03,JP,1715239884
